Experience,Skills,Job Applying For,Selected
9,"['flutter', 'android', 'swift', 'aws', 'project management']",app developer senior,0
2,"['python', 'django', 'aws', 'nodejs', 'docker']",backend developer junior,1
8,"['android', 'kotlin', 'API', 'content writing', 'ruby']",app developer senior,0
5,"['android', 'java', 'API', 'docker', 'nodejs']",app developer senior,0
3,"['postgresql', 'flask', 'aws', 'docker', 'ruby']",backend developer junior,1
2,"['python', 'postgresql', 'photoshop', 'content writing', 'project management']",backend developer junior,1
4,"['ios', 'kotlin', 'java', 'project management', 'ruby']",app developer senior,0
1,"['java', 'sql', 'project management', 'docker', 'ruby']",java developer junior,1
0,"['java', 'ios', 'seo', 'docker', 'photoshop']",app developer junior,1
5,"['redux', 'react', 'html', 'kotlin', 'nodejs']",frontend developer senior,0
4,"['API', 'kotlin', 'java', 'project management', 'kotlin']",app developer senior,0
9,"['javascript', 'react', 'vue', 'nodejs', 'seo']",frontend developer senior,0
4,"['css', 'react', 'vue', 'aws', 'seo']",frontend developer senior,0
4,"['spring', 'hibernate', 'sql', 'project management', 'ruby']",java developer senior,0
3,"['flask', 'API', 'photoshop', 'kotlin', 'content writing']",python developer junior,1
2,"['javascript', 'css', 'kotlin', 'nodejs', 'photoshop']",frontend developer junior,1
0,"['javascript', 'html', 'photoshop', 'docker', 'nodejs']",frontend developer junior,1
8,"['API', 'flutter', 'swift', 'kotlin', 'docker']",app developer senior,1
1,"['flask', 'machine learning', 'docker', 'content writing', 'nodejs']",python developer junior,1
1,"['python', 'machine learning', 'seo', 'photoshop', 'nodejs']",python developer junior,1
3,"['python', 'flask', 'docker', 'kotlin', 'aws']",python developer junior,1
2,"['html', 'javascript', 'project management', 'photoshop', 'kotlin']",frontend developer junior,1
5,"['docker', 'sql', 'python', 'docker', 'kotlin']",backend developer senior,0
0,"['html', 'vue', 'ruby', 'project management', 'kotlin']",frontend developer junior,1
0,"['servlet', 'java', 'seo', 'photoshop', 'kotlin']",java developer junior,1
3,"['django', 'flask', 'ruby', 'aws', 'project management']",backend developer junior,1
0,"['machine learning', 'python', 'photoshop', 'docker', 'content writing']",python developer junior,1
